roll,seeded_roll,pretzel
399.0,64.0,121.0
464.0,53.0,137.0
1131.0,119.0,168.0
297.0,28.0,97.0
245.0,57.0,112.0
251.0,32.0,109.0
253.0,43.0,166.0
297.0,43.0,136.0
370.0,67.0,105.0
885.0,112.0,205.0
217.0,36.0,112.0
294.0,33.0,134.0
276.0,42.0,105.0
286.0,37.0,151.0
311.0,32.0,63.0
434.0,53.0,132.0
1068.0,99.0,227.0
309.0,37.0,138.0
190.0,34.0,121.0
214.0,36.0,116.0
253.0,40.0,110.0
440.0,53.0,87.0
621.0,60.0,156.0
892.0,108.0,240.0
196.0,30.0,141.0
253.0,44.0,113.0
250.0,30.0,90.0
330.0,51.0,136.0
488.0,62.0,134.0
664.0,65.0,144.0
870.0,90.0,209.0
142.0,24.0,114.0
342.0,56.0,121.0
305.0,32.0,119.0
233.0,48.0,124.0
389.0,56.0,136.0
566.0,58.0,180.0
1129.0,132.0,225.0
285.0,37.0,127.0
361.0,51.0,106.0
285.0,34.0,157.0
253.0,71.0,136.0
457.0,58.0,145.0
391.0,61.0,115.0
758.0,112.0,177.0
228.0,42.0,102.0
251.0,66.0,125.0
293.0,46.0,80.0
254.0,46.0,99.0
339.0,35.0,120.0
479.0,81.0,146.0
905.0,95.0,214.0
238.0,49.0,92.0
262.0,43.0,108.0
299.0,44.0,105.0
272.0,52.0,116.0
399.0,73.0,144.0
345.0,67.0,120.0
766.0,92.0,197.0
224.0,34.0,108.0
248.0,51.0,99.0
261.0,39.0,84.0
234.0,40.0,82.0
347.0,62.0,109.0
417.0,49.0,142.0
715.0,97.0,167.0
262.0,26.0,71.0
311.0,45.0,82.0
194.0,44.0,94.0
264.0,27.0,103.0
386.0,67.0,91.0
324.0,68.0,136.0
707.0,99.0,195.0
221.0,25.0,104.0
251.0,44.0,120.0
231.0,42.0,55.0
253.0,38.0,77.0
416.0,51.0,121.0
463.0,63.0,153.0
620.0,88.0,172.0
242.0,26.0,90.0
356.0,50.0,79.0
236.0,32.0,105.0
241.0,30.0,87.0
396.0,38.0,110.0
486.0,79.0,101.0
877.0,92.0,160.0
182.0,56.0,120.0
228.0,52.0,93.0
232.0,23.0,108.0
228.0,46.0,97.0
313.0,52.0,94.0
441.0,51.0,116.0
1206.0,121.0,332.0
294.0,35.0,110.0
419.0,57.0,102.0
285.0,35.0,112.0
228.0,47.0,148.0
320.0,49.0,99.0
354.0,72.0,128.0
782.0,97.0,194.0
195.0,28.0,108.0
232.0,51.0,114.0
303.0,41.0,129.0
289.0,53.0,117.0
375.0,59.0,114.0
519.0,67.0,105.0
985.0,107.0,246.0
198.0,38.0,96.0
350.0,46.0,87.0
166.0,47.0,120.0
217.0,32.0,100.0
410.0,46.0,120.0
469.0,60.0,115.0
870.0,103.0,185.0
753.0,129.0,193.0
267.0,56.0,148.0
266.0,41.0,143.0
279.0,52.0,147.0
310.0,67.0,172.0
454.0,46.0,136.0
732.0,119.0,197.0
281.0,56.0,142.0
243.0,68.0,107.0
272.0,44.0,104.0
290.0,62.0,126.0
265.0,51.0,167.0
396.0,70.0,105.0
733.0,116.0,219.0
207.0,49.0,109.0
250.0,56.0,111.0
306.0,43.0,108.0
343.0,41.0,114.0
349.0,51.0,129.0
389.0,67.0,94.0
893.0,132.0,203.0
362.0,41.0,107.0
263.0,60.0,128.0
302.0,36.0,127.0
213.0,57.0,134.0
376.0,70.0,129.0
390.0,66.0,115.0
680.0,107.0,205.0
254.0,70.0,132.0
591.0,86.0,183.0
270.0,33.0,118.0
288.0,51.0,114.0
342.0,57.0,101.0
487.0,70.0,141.0
696.0,103.0,155.0
272.0,69.0,117.0
299.0,39.0,111.0
290.0,48.0,107.0
260.0,38.0,114.0
342.0,47.0,91.0
467.0,68.0,124.0
918.0,133.0,214.0
236.0,49.0,103.0
223.0,56.0,101.0
330.0,55.0,122.0
248.0,37.0,125.0
290.0,53.0,133.0
690.0,53.0,94.0
769.0,130.0,189.0
290.0,42.0,157.0
299.0,45.0,162.0
254.0,40.0,119.0
214.0,42.0,107.0
394.0,57.0,118.0
424.0,82.0,148.0
1145.0,91.0,192.0
281.0,40.0,134.0
275.0,53.0,122.0
266.0,44.0,134.0
270.0,50.0,136.0
351.0,51.0,114.0
424.0,79.0,103.0
844.0,116.0,188.0
279.0,47.0,110.0
200.0,45.0,113.0
270.0,35.0,125.0
298.0,38.0,137.0
283.0,53.0,118.0
551.0,62.0,149.0
819.0,141.0,158.0
288.0,41.0,88.0
295.0,47.0,119.0
335.0,41.0,117.0
327.0,44.0,109.0
404.0,56.0,124.0
510.0,77.0,124.0
1057.0,73.0,229.0
304.0,53.0,138.0
315.0,48.0,150.0
352.0,49.0,133.0
516.0,46.0,107.0
411.0,72.0,132.0
619.0,69.0,142.0
0.0,0.0,0.0
0.0,0.0,0.0
387.0,81.0,117.0
317.0,42.0,89.0
267.0,48.0,97.0
388.0,47.0,114.0
435.0,68.0,95.0
0.0,0.0,0.0
372.0,42.0,100.0
360.0,51.0,116.0
248.0,29.0,89.0
401.0,65.0,79.0
378.0,40.0,117.0
502.0,79.0,112.0
715.0,71.0,170.0
361.0,53.0,136.0
278.0,58.0,130.0
302.0,45.0,124.0
285.0,37.0,125.0
255.0,41.0,95.0
325.0,76.0,103.0
653.0,89.0,161.0
221.0,40.0,148.0
312.0,42.0,134.0
259.0,36.0,134.0
263.0,48.0,122.0
337.0,53.0,127.0
380.0,66.0,120.0
845.0,125.0,200.0
289.0,48.0,128.0
228.0,56.0,138.0
331.0,44.0,107.0
283.0,31.0,152.0
355.0,50.0,147.0
428.0,73.0,120.0
787.0,117.0,206.0
386.0,23.0,76.0
320.0,53.0,135.0
228.0,50.0,133.0
261.0,52.0,133.0
319.0,45.0,113.0
356.0,73.0,130.0
889.0,142.0,180.0
295.0,34.0,141.0
308.0,45.0,145.0
272.0,46.0,112.0
271.0,50.0,170.0
396.0,53.0,113.0
363.0,67.0,123.0
723.0,129.0,211.0
217.0,37.0,150.0
338.0,60.0,135.0
255.0,39.0,124.0
283.0,50.0,123.0
377.0,50.0,131.0
399.0,77.0,114.0
839.0,110.0,214.0
334.0,70.0,142.0
284.0,68.0,139.0
289.0,59.0,127.0
264.0,35.0,160.0
410.0,55.0,162.0
445.0,56.0,154.0
769.0,120.0,193.0
232.0,45.0,122.0
298.0,22.0,118.0
314.0,37.0,128.0
274.0,42.0,124.0
363.0,46.0,124.0
405.0,66.0,145.0
846.0,146.0,171.0
301.0,51.0,133.0
352.0,63.0,141.0
265.0,39.0,117.0
332.0,43.0,131.0
428.0,69.0,123.0
361.0,66.0,117.0
899.0,133.0,242.0
247.0,53.0,144.0
230.0,41.0,146.0
277.0,58.0,121.0
264.0,50.0,166.0
317.0,54.0,139.0
403.0,57.0,136.0
1002.0,110.0,306.0
254.0,55.0,145.0
323.0,53.0,132.0
290.0,39.0,114.0
284.0,57.0,158.0
376.0,63.0,158.0
368.0,60.0,117.0
922.0,115.0,202.0
295.0,42.0,148.0
293.0,46.0,133.0
301.0,34.0,106.0
281.0,51.0,150.0
372.0,50.0,138.0
525.0,69.0,143.0
844.0,146.0,172.0
229.0,43.0,173.0
274.0,50.0,144.0
250.0,40.0,120.0
309.0,46.0,129.0
337.0,40.0,129.0
499.0,84.0,111.0
1130.0,114.0,231.0
240.0,32.0,112.0
309.0,55.0,140.0
289.0,47.0,106.0
411.0,60.0,139.0
0.0,0.0,0.0
735.0,99.0,171.0
529.0,105.0,212.0
633.0,74.0,97.0
267.0,29.0,91.0
273.0,49.0,102.0
298.0,57.0,117.0
301.0,70.0,128.0
475.0,80.0,113.0
646.0,123.0,192.0
253.0,65.0,162.0
275.0,69.0,162.0
235.0,55.0,117.0
270.0,39.0,127.0
477.0,58.0,163.0
447.0,87.0,111.0
1147.0,94.0,243.0
1119.0,96.0,183.0
287.0,52.0,121.0
232.0,38.0,103.0
268.0,47.0,100.0
318.0,46.0,118.0
515.0,74.0,110.0
731.0,130.0,173.0
262.0,57.0,128.0
234.0,58.0,125.0
295.0,54.0,95.0
214.0,34.0,113.0
371.0,53.0,94.0
420.0,43.0,116.0
928.0,132.0,197.0
224.0,38.0,120.0
184.0,47.0,107.0
244.0,35.0,112.0
281.0,46.0,100.0
327.0,33.0,101.0
386.0,48.0,118.0
714.0,113.0,180.0
207.0,44.0,128.0
284.0,52.0,95.0
294.0,64.0,119.0
754.0,92.0,210.0
280.0,61.0,96.0
396.0,76.0,95.0
924.0,107.0,215.0
222.0,44.0,101.0
273.0,43.0,98.0
224.0,34.0,78.0
226.0,50.0,141.0
442.0,55.0,118.0
349.0,82.0,118.0
676.0,108.0,189.0
824.0,109.0,195.0
225.0,47.0,116.0
235.0,35.0,103.0
282.0,60.0,93.0
358.0,83.0,88.0
327.0,78.0,112.0
672.0,111.0,150.0
238.0,51.0,79.0
210.0,61.0,82.0
283.0,70.0,85.0
0.0,0.0,0.0
369.0,60.0,98.0
475.0,80.0,116.0
868.0,113.0,199.0
210.0,28.0,88.0
253.0,40.0,86.0
276.0,37.0,99.0
283.0,33.0,103.0
323.0,41.0,107.0
559.0,44.0,113.0
760.0,114.0,198.0
206.0,34.0,95.0
248.0,45.0,92.0
261.0,26.0,91.0
204.0,45.0,109.0
366.0,44.0,140.0
455.0,77.0,142.0
755.0,119.0,197.0
304.0,53.0,129.0
269.0,62.0,109.0
282.0,57.0,113.0
302.0,55.0,116.0
362.0,60.0,88.0
531.0,37.0,87.0
859.0,119.0,121.0
225.0,44.0,105.0
236.0,55.0,88.0
248.0,44.0,96.0
212.0,50.0,113.0
203.0,47.0,130.0
317.0,79.0,129.0
781.0,113.0,182.0
214.0,27.0,102.0
230.0,44.0,92.0
251.0,53.0,98.0
259.0,43.0,102.0
335.0,56.0,77.0
454.0,59.0,97.0
785.0,115.0,151.0
234.0,38.0,102.0
320.0,35.0,95.0
340.0,35.0,92.0
288.0,28.0,71.0
325.0,41.0,86.0
336.0,68.0,102.0
758.0,109.0,192.0
299.0,29.0,92.0
229.0,37.0,82.0
278.0,33.0,81.0
252.0,36.0,103.0
322.0,49.0,99.0
410.0,70.0,110.0
641.0,90.0,129.0
236.0,36.0,77.0
297.0,49.0,95.0
280.0,29.0,102.0
194.0,41.0,86.0
317.0,62.0,112.0
503.0,62.0,103.0
514.0,93.0,155.0
214.0,42.0,73.0
284.0,57.0,87.0
156.0,36.0,67.0
245.0,32.0,80.0
281.0,10.0,80.0
313.0,55.0,114.0
545.0,81.0,161.0
197.0,30.0,74.0
268.0,24.0,80.0
294.0,31.0,84.0
253.0,38.0,60.0
422.0,34.0,93.0
400.0,71.0,96.0
657.0,94.0,190.0
208.0,21.0,67.0
302.0,53.0,76.0
332.0,23.0,90.0
286.0,32.0,82.0
592.0,56.0,89.0
408.0,54.0,97.0
781.0,136.0,177.0
241.0,53.0,92.0
305.0,51.0,74.0
290.0,36.0,95.0
254.0,34.0,101.0
362.0,45.0,80.0
326.0,68.0,95.0
876.0,145.0,166.0
190.0,30.0,79.0
228.0,48.0,110.0
233.0,28.0,90.0
217.0,35.0,105.0
259.0,31.0,121.0
366.0,58.0,101.0
1037.0,147.0,211.0
230.0,29.0,102.0
263.0,21.0,101.0
206.0,33.0,109.0
250.0,47.0,94.0
261.0,54.0,111.0
336.0,69.0,100.0
858.0,154.0,206.0
204.0,40.0,89.0
241.0,57.0,107.0
194.0,55.0,135.0
246.0,39.0,120.0
353.0,53.0,123.0
419.0,41.0,96.0
791.0,99.0,199.0
394.0,41.0,143.0
587.0,89.0,165.0
280.0,37.0,120.0
306.0,41.0,99.0
408.0,39.0,110.0
442.0,36.0,98.0
744.0,133.0,218.0
313.0,36.0,85.0
193.0,35.0,93.0
274.0,37.0,104.0
208.0,38.0,97.0
339.0,44.0,82.0
515.0,58.0,117.0
814.0,119.0,245.0
198.0,38.0,111.0
230.0,43.0,110.0
201.0,45.0,96.0
189.0,47.0,114.0
258.0,49.0,81.0
489.0,52.0,109.0
827.0,100.0,182.0
198.0,46.0,88.0
261.0,41.0,87.0
197.0,45.0,95.0
210.0,57.0,106.0
377.0,64.0,105.0
351.0,77.0,119.0
638.0,102.0,173.0
414.0,75.0,91.0
504.0,115.0,161.0
872.0,107.0,165.0
279.0,44.0,114.0
346.0,67.0,73.0
355.0,62.0,121.0
566.0,113.0,186.0
272.0,47.0,120.0
248.0,51.0,74.0
261.0,35.0,71.0
241.0,29.0,116.0
249.0,38.0,142.0
356.0,60.0,113.0
675.0,92.0,166.0
223.0,40.0,111.0
219.0,31.0,112.0
188.0,37.0,91.0
298.0,46.0,131.0
430.0,46.0,98.0
361.0,59.0,134.0
724.0,118.0,190.0
251.0,45.0,92.0
160.0,33.0,81.0
252.0,37.0,107.0
191.0,31.0,110.0
262.0,45.0,109.0
647.0,50.0,90.0
673.0,116.0,140.0
240.0,28.0,90.0
239.0,36.0,108.0
223.0,22.0,110.0
246.0,43.0,116.0
253.0,45.0,106.0
486.0,52.0,74.0
869.0,116.0,157.0
262.0,24.0,108.0
241.0,56.0,107.0
290.0,47.0,106.0
258.0,33.0,113.0
328.0,31.0,84.0
413.0,59.0,100.0
553.0,107.0,146.0
249.0,43.0,109.0
283.0,40.0,105.0
253.0,23.0,93.0
249.0,37.0,94.0
369.0,39.0,117.0
391.0,70.0,88.0
778.0,86.0,163.0
245.0,33.0,112.0
408.0,52.0,120.0
256.0,24.0,86.0
367.0,38.0,118.0
356.0,43.0,122.0
486.0,73.0,153.0
684.0,120.0,130.0
0.0,0.0,0.0
0.0,0.0,0.0
376.0,45.0,98.0
219.0,29.0,82.0
470.0,31.0,105.0
335.0,64.0,87.0
787.0,139.0,174.0
0.0,0.0,0.0
221.0,37.0,79.0
169.0,31.0,66.0
224.0,27.0,55.0
244.0,44.0,88.0
397.0,65.0,124.0
843.0,106.0,178.0
201.0,40.0,122.0
227.0,30.0,103.0
232.0,36.0,96.0
127.0,25.0,97.0
329.0,41.0,104.0
365.0,50.0,107.0
635.0,112.0,185.0
216.0,23.0,92.0
237.0,29.0,136.0
168.0,36.0,85.0
153.0,40.0,92.0
348.0,44.0,112.0
276.0,64.0,114.0
549.0,101.0,124.0
233.0,41.0,97.0
240.0,37.0,122.0
252.0,38.0,127.0
207.0,40.0,125.0
319.0,66.0,115.0
303.0,73.0,128.0
585.0,78.0,145.0
241.0,42.0,127.0
220.0,38.0,117.0
257.0,44.0,119.0
169.0,30.0,83.0
288.0,36.0,141.0
285.0,49.0,134.0
491.0,113.0,178.0
252.0,50.0,115.0
253.0,42.0,131.0
195.0,53.0,99.0
265.0,40.0,139.0
293.0,43.0,123.0
304.0,56.0,130.0
496.0,103.0,200.0
194.0,46.0,125.0
259.0,32.0,89.0
234.0,39.0,82.0
231.0,48.0,83.0
358.0,31.0,117.0
337.0,89.0,101.0
612.0,116.0,174.0
205.0,48.0,121.0
241.0,67.0,88.0
204.0,52.0,103.0
167.0,41.0,106.0
302.0,33.0,122.0
256.0,64.0,113.0
518.0,120.0,111.0
215.0,36.0,125.0
215.0,27.0,88.0
336.0,38.0,94.0
158.0,37.0,114.0
206.0,44.0,117.0
392.0,60.0,138.0
960.0,115.0,186.0
159.0,41.0,119.0
236.0,43.0,122.0
215.0,38.0,122.0
187.0,37.0,94.0
335.0,40.0,94.0
457.0,69.0,147.0
725.0,97.0,173.0
256.0,39.0,124.0
161.0,20.0,98.0
129.0,23.0,91.0
226.0,45.0,125.0
275.0,40.0,122.0
318.0,59.0,107.0
549.0,99.0,165.0
163.0,39.0,88.0
292.0,48.0,128.0
195.0,39.0,129.0
226.0,62.0,117.0
336.0,75.0,102.0
305.0,75.0,114.0
647.0,100.0,173.0
240.0,37.0,89.0
187.0,41.0,73.0
224.0,59.0,91.0
333.0,60.0,115.0
0.0,0.0,0.0
581.0,65.0,129.0
630.0,88.0,192.0
695.0,115.0,165.0
200.0,25.0,79.0
163.0,22.0,86.0
156.0,28.0,95.0
244.0,45.0,126.0
323.0,42.0,128.0
951.0,103.0,149.0
164.0,28.0,90.0
215.0,30.0,101.0
150.0,33.0,77.0
192.0,37.0,94.0
200.0,41.0,91.0
416.0,59.0,121.0
952.0,124.0,150.0
242.0,40.0,96.0
198.0,38.0,111.0
235.0,45.0,126.0
204.0,45.0,104.0
226.0,39.0,106.0
457.0,58.0,106.0
694.0,120.0,231.0
196.0,30.0,64.0
196.0,45.0,92.0
230.0,39.0,111.0
229.0,50.0,95.0
421.0,26.0,111.0
289.0,41.0,108.0
676.0,98.0,147.0
301.0,47.0,125.0
594.0,90.0,160.0
238.0,42.0,103.0
285.0,48.0,88.0
253.0,57.0,111.0
287.0,84.0,100.0
725.0,103.0,197.0
176.0,65.0,113.0
185.0,59.0,122.0
246.0,42.0,93.0
641.0,87.0,150.0
275.0,49.0,97.0
450.0,41.0,69.0
821.0,116.0,207.0
180.0,29.0,103.0
201.0,40.0,113.0
157.0,31.0,78.0
224.0,43.0,130.0
244.0,34.0,105.0
322.0,69.0,108.0
894.0,86.0,234.0
736.0,69.0,193.0
225.0,49.0,83.0
212.0,37.0,100.0
200.0,48.0,91.0
247.0,24.0,89.0
261.0,60.0,79.0
644.0,78.0,136.0
134.0,24.0,68.0
148.0,30.0,58.0
289.0,40.0,67.0
0.0,0.0,0.0
322.0,37.0,63.0
277.0,46.0,76.0
868.0,113.0,181.0
161.0,38.0,98.0
195.0,38.0,114.0
197.0,34.0,99.0
227.0,54.0,97.0
345.0,49.0,102.0
348.0,59.0,115.0
818.0,91.0,129.0
193.0,59.0,92.0
215.0,52.0,82.0
198.0,46.0,86.0
231.0,44.0,85.0
290.0,39.0,78.0
249.0,62.0,84.0
991.0,89.0,190.0
196.0,49.0,114.0
219.0,39.0,110.0
169.0,36.0,94.0
208.0,33.0,95.0
230.0,34.0,85.0
289.0,49.0,92.0
656.0,114.0,110.0
201.0,42.0,109.0
240.0,46.0,100.0
263.0,46.0,97.0
169.0,28.0,91.0
294.0,34.0,67.0
358.0,63.0,151.0
720.0,91.0,204.0
245.0,36.0,98.0
202.0,32.0,97.0
291.0,37.0,107.0
231.0,42.0,84.0
330.0,35.0,76.0
452.0,60.0,85.0
610.0,125.0,204.0
189.0,47.0,103.0
197.0,39.0,113.0
229.0,48.0,92.0
223.0,39.0,99.0
341.0,30.0,111.0
342.0,58.0,69.0
746.0,99.0,186.0
183.0,34.0,81.0
254.0,33.0,82.0
210.0,31.0,93.0
251.0,51.0,90.0
379.0,63.0,109.0
260.0,79.0,94.0
904.0,97.0,183.0
211.0,56.0,109.0
378.0,44.0,98.0
374.0,29.0,96.0
198.0,30.0,70.0
292.0,41.0,96.0
232.0,32.0,77.0
564.0,106.0,231.0
349.0,44.0,59.0
193.0,29.0,57.0
214.0,30.0,102.0
204.0,38.0,80.0
212.0,43.0,68.0
273.0,33.0,111.0
595.0,78.0,172.0
203.0,33.0,84.0
339.0,39.0,73.0
210.0,27.0,58.0
176.0,36.0,78.0
256.0,39.0,87.0
375.0,42.0,120.0
784.0,72.0,162.0
167.0,40.0,78.0
192.0,36.0,68.0
171.0,35.0,78.0
201.0,36.0,62.0
287.0,28.0,60.0
210.0,49.0,72.0
584.0,79.0,138.0
173.0,26.0,75.0
200.0,42.0,77.0
184.0,30.0,61.0
160.0,46.0,65.0
284.0,57.0,88.0
253.0,71.0,69.0
558.0,82.0,123.0
215.0,44.0,69.0
167.0,53.0,78.0
185.0,53.0,78.0
181.0,25.0,73.0
304.0,33.0,61.0
311.0,62.0,62.0
866.0,101.0,125.0
112.0,18.0,57.0
281.0,35.0,74.0
159.0,33.0,68.0
154.0,25.0,82.0
267.0,32.0,109.0
304.0,43.0,85.0
736.0,60.0,182.0
203.0,35.0,94.0
259.0,33.0,115.0
257.0,31.0,114.0
252.0,54.0,104.0
280.0,34.0,105.0
346.0,45.0,91.0
778.0,96.0,132.0
220.0,43.0,91.0
192.0,46.0,92.0
168.0,23.0,96.0
167.0,34.0,89.0
314.0,37.0,83.0
324.0,58.0,79.0
640.0,93.0,146.0
208.0,22.0,109.0
173.0,39.0,121.0
233.0,27.0,115.0
220.0,41.0,137.0
271.0,37.0,133.0
542.0,30.0,99.0
729.0,111.0,203.0
208.0,41.0,65.0
262.0,37.0,116.0
537.0,91.0,156.0
221.0,36.0,111.0
299.0,39.0,129.0
299.0,43.0,109.0
707.0,120.0,160.0
229.0,30.0,107.0
238.0,48.0,114.0
246.0,38.0,95.0
191.0,52.0,100.0
297.0,139.0,89.0
269.0,68.0,117.0
738.0,107.0,154.0
210.0,51.0,114.0
217.0,51.0,97.0
185.0,49.0,92.0
168.0,30.0,113.0
248.0,40.0,105.0
319.0,66.0,76.0
713.0,143.0,126.0
244.0,34.0,107.0
225.0,32.0,96.0
236.0,39.0,108.0
245.0,41.0,89.0
229.0,49.0,70.0
399.0,52.0,50.0
785.0,92.0,178.0
217.0,21.0,70.0
240.0,28.0,98.0
267.0,42.0,63.0
532.0,92.0,149.0
326.0,27.0,115.0
292.0,35.0,107.0
859.0,113.0,200.0
198.0,26.0,107.0
268.0,30.0,76.0
202.0,33.0,95.0
212.0,42.0,82.0
241.0,38.0,93.0
174.0,30.0,84.0
577.0,76.0,215.0
188.0,32.0,110.0
237.0,33.0,76.0
209.0,37.0,110.0
218.0,27.0,80.0
278.0,37.0,92.0
258.0,35.0,85.0
778.0,114.0,168.0
245.0,32.0,106.0
215.0,40.0,84.0
186.0,32.0,79.0
198.0,32.0,118.0
278.0,30.0,117.0
274.0,30.0,103.0
595.0,95.0,187.0
214.0,39.0,125.0
195.0,39.0,114.0
205.0,31.0,137.0
252.0,23.0,103.0
178.0,25.0,66.0
217.0,33.0,98.0
801.0,116.0,186.0
226.0,30.0,107.0
202.0,26.0,99.0
211.0,30.0,86.0
184.0,39.0,96.0
242.0,30.0,105.0
213.0,26.0,78.0
535.0,66.0,118.0
231.0,24.0,104.0
198.0,36.0,107.0
160.0,19.0,88.0
359.0,40.0,112.0
411.0,43.0,121.0
543.0,39.0,112.0
837.0,121.0,200.0
227.0,30.0,108.0
230.0,44.0,113.0
184.0,35.0,107.0
249.0,22.0,93.0
271.0,36.0,91.0
339.0,46.0,68.0
482.0,49.0,141.0
364.0,58.0,108.0
0.0,0.0,0.0
0.0,0.0,0.0
279.0,45.0,89.0
228.0,31.0,79.0
207.0,37.0,82.0
342.0,50.0,107.0
232.0,41.0,96.0
0.0,0.0,0.0
160.0,33.0,114.0
175.0,23.0,91.0
231.0,33.0,102.0
210.0,29.0,80.0
598.0,67.0,147.0
266.0,40.0,117.0
190.0,28.0,113.0
244.0,27.0,112.0
258.0,31.0,86.0
210.0,18.0,92.0
289.0,48.0,73.0
550.0,80.0,125.0
163.0,23.0,74.0
246.0,40.0,115.0
131.0,22.0,85.0
179.0,39.0,96.0
309.0,28.0,127.0
250.0,52.0,123.0
445.0,86.0,142.0
216.0,28.0,108.0
216.0,36.0,113.0
231.0,34.0,120.0
193.0,32.0,87.0
246.0,42.0,104.0
212.0,36.0,99.0
508.0,56.0,109.0
196.0,26.0,91.0
248.0,29.0,79.0
157.0,35.0,78.0
183.0,46.0,93.0
205.0,28.0,102.0
249.0,39.0,135.0
493.0,79.0,183.0
236.0,25.0,120.0
200.0,39.0,105.0
183.0,22.0,99.0
136.0,40.0,101.0
220.0,28.0,110.0
252.0,47.0,113.0
599.0,107.0,130.0
153.0,28.0,91.0
202.0,38.0,102.0
148.0,32.0,96.0
188.0,27.0,101.0
292.0,34.0,136.0
248.0,43.0,126.0
558.0,82.0,196.0
183.0,41.0,127.0
229.0,43.0,124.0
232.0,37.0,140.0
149.0,49.0,111.0
268.0,71.0,108.0
261.0,49.0,127.0
644.0,86.0,174.0
138.0,42.0,111.0
208.0,49.0,113.0
144.0,38.0,106.0
205.0,28.0,97.0
312.0,34.0,114.0
259.0,69.0,100.0
514.0,86.0,197.0
161.0,26.0,88.0
171.0,26.0,115.0
245.0,23.0,95.0
198.0,26.0,69.0
241.0,35.0,93.0
190.0,39.0,120.0
641.0,121.0,202.0
154.0,33.0,102.0
219.0,35.0,105.0
198.0,42.0,94.0
179.0,23.0,68.0
227.0,25.0,147.0
212.0,54.0,71.0
614.0,87.0,161.0
151.0,35.0,98.0
154.0,49.0,111.0
193.0,38.0,118.0
199.0,46.0,116.0
261.0,49.0,101.0
445.0,47.0,128.0
696.0,93.0,222.0
155.0,36.0,122.0
311.0,46.0,105.0
202.0,37.0,112.0
251.0,33.0,105.0
186.0,40.0,114.0
418.0,10.0,139.0
660.0,98.0,200.0
193.0,35.0,115.0
152.0,28.0,98.0
152.0,35.0,110.0
185.0,39.0,111.0
229.0,29.0,135.0
312.0,59.0,118.0
863.0,117.0,190.0
184.0,27.0,138.0
289.0,30.0,121.0
148.0,45.0,132.0
181.0,38.0,123.0
172.0,41.0,102.0
199.0,56.0,104.0
523.0,68.0,185.0
190.0,32.0,95.0
166.0,25.0,104.0
184.0,36.0,99.0
260.0,53.0,118.0
0.0,0.0,0.0
298.0,59.0,118.0
477.0,112.0,221.0
674.0,109.0,163.0
247.0,48.0,101.0
152.0,28.0,76.0
228.0,34.0,59.0
269.0,23.0,88.0
207.0,53.0,136.0
531.0,69.0,197.0
161.0,38.0,89.0
165.0,42.0,121.0
